ID	SYMBOL	BIOTYPE	CHROMOSOME	START	STOP
ENSMUSG00000103106	Gm37047	other	1	42491813	42495663
ENSMUSG00000103055	Gm38269	other	1	145323394	145326691
ENSMUSG00000102403	Gm38187	other	1	146477647	146482355
ENSMUSG00000104199	4930420N18Rik	other	1	42651726	42652401
ENSMUSG00000104416	Gm37067	other	1	33889490	33891117
ENSMUSG00000103102	Gm37049	other	1	163108993	163110975
ENSMUSG00000103531	2610300A13Rik	other	1	38767184	38767686
ENSMUSG00000102719	Gm37760	other	1	58797783	58801623
ENSMUSG00000103195	Gm37644	other	1	163306798	163309067
ENSMUSG00000104515	Gm37163	other	1	130727132	130728821
ENSMUSG00000104351	Gm37125	other	1	172513249	172514807
ENSMUSG00000102166	Gm36947	other	1	13846871	13849119
ENSMUSG00000104209	Gm37400	other	1	14109215	14112819
ENSMUSG00000104194	Gm33354	other	1	166448252	166449157
ENSMUSG00000102709	Gm38308	other	1	132943512	132945320
ENSMUSG00000103375	Gm37181	other	1	66690630	66692356
ENSMUSG00000102389	D630023O14Rik	other	1	164575455	164578553
ENSMUSG00000103494	Gm37410	other	1	11363926	11366964
ENSMUSG00000103320	Gm37403	other	1	164872833	164876353
ENSMUSG00000103825	Gm38178	other	1	11416918	11419388
ENSMUSG00000103561	Gm38069	other	1	11704207	11706350
ENSMUSG00000103680	Gm37072	other	1	161001009	161001845
ENSMUSG00000102588	Gm37444	other	1	14255552	14255990
ENSMUSG00000102755	Gm37055	other	1	192136689	192136821
ENSMUSG00000103222	Gm37729	other	1	160985758	160986929
ENSMUSG00000103370	Gm37178	other	1	189064895	189066433
ENSMUSG00000104104	Gm37877	other	1	99847984	99850692
ENSMUSG00000103822	6030460B20Rik	other	1	60353119	60354176
ENSMUSG00000102701	9430083B18Rik	other	1	172873551	172874413
ENSMUSG00000103540	Gm37668	other	1	175955455	175957398
ENSMUSG00000103046	Gm37309	other	1	38992678	38994316
ENSMUSG00000104363	Gm38081	other	1	176031079	176032723
ENSMUSG00000103277	Gm37916	other	1	176179201	176181635
ENSMUSG00000102425	Gm26616	other	1	133128676	133131782
ENSMUSG00000103492	Gm37412	other	1	14788645	14792965
ENSMUSG00000104248	Gm38152	other	1	176370155	176373720
ENSMUSG00000104427	Gm38368	other	1	165379519	165380853
ENSMUSG00000103182	Gm37091	other	1	39081252	39083338
ENSMUSG00000102689	Gm37217	other	1	71843090	71846610
ENSMUSG00000103772	Gm36933	other	1	180376444	180379514
ENSMUSG00000104388	Gm37033	other	1	180357649	180364998
ENSMUSG00000103123	Gm37390	other	1	180372669	180373540
ENSMUSG00000102985	4930456G14Rik	other	1	40049039	40050368
ENSMUSG00000104419	2900092O11Rik	other	1	184442980	184443734
ENSMUSG00000102975	Gm37347	other	1	40088511	40091581
ENSMUSG00000104210	Gm37984	other	1	180473355	180477087
ENSMUSG00000103424	Gm37535	other	1	51527005	51529369
ENSMUSG00000103560	Gm38070	other	1	40238020	40244499
ENSMUSG00000103056	Gm38268	other	1	186112181	186112373
ENSMUSG00000104518	Gm37162	other	1	13059401	13059951
ENSMUSG00000104219	Gm37989	other	1	83426596	83427398
ENSMUSG00000102750	Gm37058	other	1	84132867	84134510
ENSMUSG00000104052	Gm38125	other	1	59801263	59804700
ENSMUSG00000102481	Gm37925	other	1	84665189	84669443
ENSMUSG00000104396	Gm37959	other	1	84392503	84395399
ENSMUSG00000102790	Gm37272	other	1	186182257	186182744
ENSMUSG00000102217	Gm37491	other	1	186347315	186348425
ENSMUSG00000104488	Gm38062	other	1	80728809	80730664
ENSMUSG00000103192	Gm37645	other	1	80666009	80669564
ENSMUSG00000102751	Gm37057	other	1	137252142	137254057
ENSMUSG00000102738	1700006P03Rik	other	1	137325434	137325842
ENSMUSG00000103070	Gm37903	other	1	137528850	137531230
ENSMUSG00000103728	Gm37099	other	1	137764077	137767527
ENSMUSG00000104112	Gm37293	other	1	137811849	137812143
ENSMUSG00000102277	A130050O07Rik	other	1	137927251	137930273
ENSMUSG00000104145	D130019J16Rik	other	1	137935189	137937346
ENSMUSG00000104197	Gm37632	other	1	137971174	137972315
ENSMUSG00000103427	Gm37534	other	1	137949422	137954643
ENSMUSG00000103038	Gm37124	other	1	137924388	137926379
ENSMUSG00000104118	Gm37298	other	1	137909291	137913158
ENSMUSG00000103131	Gm37977	other	1	59886969	59887689
ENSMUSG00000102721	A630081D01Rik	other	1	80747222	80749054
ENSMUSG00000102509	Gm37368	other	1	133775210	133778421
ENSMUSG00000103696	Gm37531	other	1	59929688	59935102
ENSMUSG00000102619	Gm37849	other	1	186711218	186713098
ENSMUSG00000104503	Gm37738	other	1	84819968	84824683
ENSMUSG00000103505	Gm38374	other	1	84807158	84809190
ENSMUSG00000102145	Gm38056	other	1	55440904	55445930
ENSMUSG00000102831	Gm37382	other	1	55559460	55561055
ENSMUSG00000102633	Gm38224	other	1	21234722	21236821
ENSMUSG00000104498	Gm37110	other	1	32485315	32486942
ENSMUSG00000102865	Gm9839	other	1	32519563	32520999
ENSMUSG00000104313	Gm37911	other	1	32496444	32497988
ENSMUSG00000103482	Gm37999	other	1	32473757	32475565
ENSMUSG00000102321	Gm37792	other	1	32539028	32542440
ENSMUSG00000102491	Gm36986	other	1	55960404	55960756
ENSMUSG00000103166	Gm10537	other	1	133829528	133831225
ENSMUSG00000103973	BC055308	other	1	95328681	95331218
ENSMUSG00000103197	Gm37642	other	1	95646774	95648508
ENSMUSG00000106839	Gm43497	other	1	187081569	187083884
ENSMUSG00000107163	Gm43496	other	1	187088160	187091160
ENSMUSG00000102556	Gm37569	other	1	10197081	10198802
ENSMUSG00000104291	A130071D04Rik	other	1	138161820	138167683
ENSMUSG00000104310	Gm4081	other	1	56976803	56978640
ENSMUSG00000102718	Gm37761	other	1	95738196	95740293
ENSMUSG00000102658	Gm37076	other	1	96313242	96315535
ENSMUSG00000104433	Gm37426	other	1	32710179	32712648
ENSMUSG00000102380	Gm38140	other	1	134096405	134099159
ENSMUSG00000102676	Gm37435	other	1	40582895	40586841
ENSMUSG00000102926	Gm37151	other	1	32967484	32972490
ENSMUSG00000103810	Gm38005	other	1	10449245	10451989
ENSMUSG00000103506	Gm38376	other	1	13177462	13179714
ENSMUSG00000102664	Gm38380	other	1	13354483	13356730
ENSMUSG00000103085	Gm38120	other	1	13343563	13348204
ENSMUSG00000104170	Gm37702	other	1	13297036	13298907
ENSMUSG00000103495	Gm37409	other	1	13234809	13236434
ENSMUSG00000104029	Gm37210	other	1	81520338	81522341
ENSMUSG00000103571	Gm37114	other	1	82105180	82106983
ENSMUSG00000104138	Gm36949	other	1	21454691	21457017
ENSMUSG00000104394	Gm37254	other	1	187236457	187240357
ENSMUSG00000102278	Gm37145	other	1	172388234	172390989
ENSMUSG00000103748	Gm38243	other	1	21838948	21840514
ENSMUSG00000102639	Gm38223	other	1	13289812	13290506
ENSMUSG00000102714	Gm37618	other	1	33613758	33616832
ENSMUSG00000102690	Gm37779	other	1	105887633	105891012
ENSMUSG00000104493	Gm19552	other	1	82352217	82355049
ENSMUSG00000102266	Gm38106	other	1	73206890	73209423
ENSMUSG00000103746	1700001G17Rik	other	1	33669824	33670712
ENSMUSG00000102198	Gm38173	other	1	33671915	33674228
ENSMUSG00000102501	Gm37372	other	1	106072584	106075894
ENSMUSG00000103291	Gm38235	other	1	106219314	106224265
ENSMUSG00000103448	Gm37133	other	1	10782456	10784377
ENSMUSG00000102687	Gm37219	other	1	119630744	119631669
ENSMUSG00000103072	Gm37905	other	1	33748007	33748347
ENSMUSG00000103732	Gm38315	other	1	188160707	188163143
ENSMUSG00000103401	Gm37929	other	1	187662869	187663361
ENSMUSG00000103179	Gm37171	other	1	97544264	97545448
ENSMUSG00000102365	Gm37045	other	1	138960441	138962903
ENSMUSG00000102140	Gm38058	other	1	64736240	64740607
ENSMUSG00000103061	Gm36970	other	1	90837275	90839133
ENSMUSG00000102451	Gm37655	other	1	139082862	139086984
ENSMUSG00000102157	Gm37470	other	1	139030185	139032982
ENSMUSG00000102243	Gm37718	other	1	139155152	139157782
ENSMUSG00000105936	Gm43544	other	1	139070213	139072684
ENSMUSG00000102642	A130048G24Rik	other	1	54913845	54916594
ENSMUSG00000102503	Gm37370	other	1	54737166	54738575
ENSMUSG00000103948	4930594C11Rik	other	1	37485851	37488605
ENSMUSG00000103978	4930474B08Rik	other	1	90870583	90871419
ENSMUSG00000102700	Gm38312	other	1	89097073	89098818
ENSMUSG00000102789	Gm38256	other	1	157940385	158141318
ENSMUSG00000103241	Gm38089	other	1	28569918	28571431
ENSMUSG00000102356	1700047N06Rik	other	1	10057025	10057944
ENSMUSG00000104365	4930470B04Rik	other	1	37660722	37662647
ENSMUSG00000102650	Gm19863	other	1	37694447	37696664
ENSMUSG00000103252	Gm37521	other	1	89825481	89827525
ENSMUSG00000104114	Gm37297	other	1	89483438	89485821
ENSMUSG00000102970	Gm37349	other	1	191597647	191598270
ENSMUSG00000104316	Gm37909	other	1	36473952	36476110
ENSMUSG00000102698	Gm37777	other	1	140266487	140269852
ENSMUSG00000103966	Gm37120	other	1	132102365	132108323
ENSMUSG00000103762	Gm37861	other	1	158375936	158378804
ENSMUSG00000103129	Gm37393	other	1	46877203	46881072
ENSMUSG00000103246	Gm38090	other	1	47433824	47435765
ENSMUSG00000104067	Gm37196	other	1	47605996	47606901
ENSMUSG00000103783	Gm37522	other	1	30833548	30836431
ENSMUSG00000104315	Gm37906	other	1	30865504	30868538
ENSMUSG00000102500	Gm37371	other	1	140823327	140823718
ENSMUSG00000102740	Gm37599	other	1	141356789	141357277
ENSMUSG00000104147	Gm37142	other	1	141420037	141423146
ENSMUSG00000102508	Gm37367	other	1	158534807	158537408
ENSMUSG00000102618	Gm37848	other	1	158548864	158551966
ENSMUSG00000103858	Gm37604	other	1	141546206	141547477
ENSMUSG00000102818	Gm37796	other	1	142755193	142755326
ENSMUSG00000102518	Gm38339	other	1	80146973	80148801
ENSMUSG00000103030	E330011M16Rik	other	1	55051319	55053112
ENSMUSG00000102526	Gm37785	other	1	185329451	185331858
ENSMUSG00000103404	Gm37932	other	1	80255031	80256197
ENSMUSG00000102597	Gm38382	other	1	19614269	19616767
ENSMUSG00000102800	Gm37479	other	1	129833148	129836988
ENSMUSG00000104095	Gm37315	other	1	20062070	20065548
ENSMUSG00000103803	Gm37064	other	1	129860815	129863045
ENSMUSG00000103281	Gm37278	other	1	129943162	129946033
ENSMUSG00000104130	Gm36951	other	1	129710543	129713229
ENSMUSG00000103742	Gm38240	other	1	129283107	129285593
ENSMUSG00000103637	Gm38330	other	1	129372304	129373262
ENSMUSG00000103076	Gm37902	other	1	80274731	80276413
ENSMUSG00000103525	Gm37262	other	1	80326177	80327994
ENSMUSG00000104374	Gm37517	other	1	83331298	83332586
ENSMUSG00000104020	Gm37215	other	1	160589882	160591140
ENSMUSG00000103522	9430087J23Rik	other	1	160315344	160316495
ENSMUSG00000103632	Gm38329	other	1	160727734	160728160
ENSMUSG00000103391	Gm38302	other	1	160604115	160606190
ENSMUSG00000104026	Gm37212	other	1	160570161	160573810
ENSMUSG00000102172	Gm37873	other	1	160648023	160650302
ENSMUSG00000103432	6720464F23Rik	other	1	160608955	160612450
ENSMUSG00000102868	Gm37633	other	1	54152397	54155096
ENSMUSG00000104400	Gm38010	other	1	86834995	86837778
ENSMUSG00000103984	Gm37447	other	1	87036723	87039650
ENSMUSG00000104121	Gm37485	other	1	86801075	86804027
ENSMUSG00000102956	Gm37017	other	1	86988270	86989016
ENSMUSG00000102649	Gm38021	other	1	86893573	86895132
ENSMUSG00000102571	Gm37967	other	1	86917992	86920656
ENSMUSG00000102383	Gm38142	other	1	86826101	86829655
ENSMUSG00000102293	Gm37541	other	1	86874350	86876664
ENSMUSG00000104053	Gm38126	other	1	160755687	160759689
ENSMUSG00000103854	Gm37250	other	1	93531815	93534202
ENSMUSG00000102822	1700113B19Rik	other	1	138261642	138262061
ENSMUSG00000102651	Gm37080	other	1	138552305	138554708
ENSMUSG00000102448	Gm37101	other	1	138567697	138571356
ENSMUSG00000104087	Gm38277	other	1	90227160	90228526
ENSMUSG00000102246	9430037O13Rik	other	1	191535885	191536892
ENSMUSG00000104025	E330040D14Rik	other	1	9967314	9968687
ENSMUSG00000103744	Gm38238	other	1	152292183	152292528
ENSMUSG00000103292	Gm35048	other	1	90520496	90523297
ENSMUSG00000103636	Gm38331	other	1	180145481	180148151
ENSMUSG00000102194	Gm38169	other	1	180021062	180023600
ENSMUSG00000103839	Gm37607	other	1	58383512	58386134
ENSMUSG00000102236	Gm37887	other	1	195220051	195222766
ENSMUSG00000104297	Gm38046	other	1	195259299	195259848
ENSMUSG00000102307	Gm38194	other	1	195321283	195323493
ENSMUSG00000104524	Gm37333	other	1	135523088	135525338
ENSMUSG00000104136	Gm36955	other	1	54518610	54520270
ENSMUSG00000104516	Gm9884	other	1	25830657	25831878
ENSMUSG00000102474	2610012C04Rik	other	1	135480392	135481414
ENSMUSG00000104057	Gm38130	other	1	88653085	88654845
ENSMUSG00000102647	Gm38024	other	1	8450960	8453491
ENSMUSG00000102316	Gm37629	other	1	9191067	9192116
ENSMUSG00000103884	Gm37005	other	1	8643696	8644859
ENSMUSG00000102253	Gm38259	other	1	8527780	8531313
ENSMUSG00000102871	Gm37143	other	1	9286922	9290180
ENSMUSG00000104164	Gm38248	other	1	127978905	127984687
ENSMUSG00000102782	Gm37625	other	1	128084460	128089331
ENSMUSG00000103999	Gm38026	other	1	128097591	128101470
ENSMUSG00000102879	Gm37135	other	1	37330971	37331504
ENSMUSG00000102235	Gm37886	other	1	79619522	79621034
ENSMUSG00000103808	Gm37060	other	1	157404325	157406721
ENSMUSG00000102391	Gm37578	other	1	157354474	157355650
ENSMUSG00000103006	4933417C20Rik	other	1	160212943	160214816
ENSMUSG00000102326	Gm37788	other	1	157347339	157350043
ENSMUSG00000102927	Gm37152	other	1	86580058	86581232
ENSMUSG00000104133	4921511E07Rik	other	1	16930970	16931796
ENSMUSG00000104132	Gm36952	other	1	25797281	25800905
ENSMUSG00000102407	Gm37862	other	1	25325866	25328398
ENSMUSG00000102386	2900022M07Rik	other	1	25808956	25809972
ENSMUSG00000104221	Gm37051	other	1	25620238	25623180
ENSMUSG00000104027	Gm37211	other	1	25314276	25317708
ENSMUSG00000104497	Gm10555	other	1	79762717	79764507
ENSMUSG00000104257	Gm20172	other	1	25276404	25277954
ENSMUSG00000102747	Gm37602	other	1	25804097	25807406
ENSMUSG00000104100	Gm37880	other	1	25362564	25365820
ENSMUSG00000102250	Gm38260	other	1	25672245	25676239
ENSMUSG00000102659	Gm37077	other	1	25755343	25759033
ENSMUSG00000103889	Gm37011	other	1	25608250	25611184
ENSMUSG00000103209	Gm37331	other	1	25296512	25299886
ENSMUSG00000103214	Gm38286	other	1	25345978	25349082
ENSMUSG00000102465	Gm38198	other	1	25735389	25738969
ENSMUSG00000103563	8030445P17Rik	other	1	25722038	25724778
ENSMUSG00000102296	Gm37543	other	1	25284218	25285248
ENSMUSG00000103924	Gm37895	other	1	25775757	25780306
ENSMUSG00000102317	Gm37628	other	1	25686062	25691501
